program_slug,program_name,name,number,rubric,requirement,component
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Chemistry Laboratory I,1107,CHEM,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Chemistry II,1308,CHEM,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Chemistry Laboratory II,1108,CHEM,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Calculus I for the Natural Sciences,2411,MATH,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Calculus I,2401,MATH,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Calculus II for the Natural Sciences,2412,MATH,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Introduction to Computer Science with Visual Basic,1408,CS,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,CS I-Introduction to Computer Science with C++,1410,CS,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Statistical Analysis for Natural Science,3311,STAT,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Microbiology,2305,MBIO,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Microbiology Lab,2105,MBIO,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Physics I,1307,PHYS,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Physics Laboratory I,1107,PHYS,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Physics I,2401,PHYS,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Physics Laboratory I,2101,PHYS,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Physics II,1308,PHYS,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Physics Laboratory II,1108,PHYS,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Physics II,2402,PHYS,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Physics Laboratory II,2102,PHYS,Mathematics and Science,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Genetics,3303,BIOL,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Genetics Laboratory,3103,BIOL,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Organic Chemistry I,3301,CHEM,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Organic Chemistry Laboratory I,3201,CHEM,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Biochemistry I,4340,CHEM,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Biochemistry Lab I,4140,CHEM,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Biological Evolution,3306,BIOL,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Evolution of the Earth and its Inhabitants,4301,BIOL,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Evolution of the Earth and its Inhabitants,4301,GEOL,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Biology Seminar,4210,BIOL,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Microbiology Seminar,4210,MBIO,Biology Courses,Major Requirements
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Undergraduate Research,3300,BIOL,One of the Following:,Biology Courses
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Advanced Laboratory in Cell and Molecular Biology,4230,BIOL,One of the Following:,Biology Courses
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Cell Biology Laboratory,4232,BIOL,One of the Following:,Biology Courses
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Environmental Laboratory and Field Studies,4260,BIOL,One of the Following:,Biology Courses
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Senior Honors Thesis,4399,BIOL,One of the Following:,Biology Courses
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Virology,3320,MBIO,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Immunology,4320,MBIO,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Immunology Lab,4120,MBIO,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Medical Microbiology,4340,MBIO,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Medical Microbiology Lab,4140,MBIO,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Introduction to Genomics and Bioinformatics,4220,BIOL,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Environmental Microbiology,3340,MBIO,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,General Biochemistry II,4342,CHEM,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Histology,4310,BIOL,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Histology Laboratory,4110,BIOL,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Microbial Biotechnology,4310,MBIO,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Biology of Fungi,3350,MBIO,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-microbiology-concentration-bs,Biology Microbiology Concentration BS,Biology of Fungi Laboratory,3150,MBIO,Courses for the Concentration (21 hours),Courses for the Concentration (21 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Business and Technical Report Writing,3302,ENG,Technical Writing Course,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Medical Writing,3325,ENG,Technical Writing Course,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Proposal Writing,3326,ENG,Technical Writing Course,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Environmental Writing,3329,ENG,Technical Writing Course,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Science Writing,4306,ENG,Technical Writing Course,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Biology I,1301,BIOL,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Biology Laboratory I,1101,BIOL,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Biology II,1302,BIOL,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Biology Laboratory II,1102,BIOL,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Chemistry I,1307,CHEM,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Chemistry Laboratory I,1107,CHEM,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Chemistry II,1308,CHEM,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Chemistry Laboratory II,1108,CHEM,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Calculus I for the Natural Sciences,2411,MATH,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Calculus I,2401,MATH,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Calculus II for the Natural Sciences,2412,MATH,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Introduction to Computer Science with Visual Basic,1408,CS,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,CS I-Introduction to Computer Science with C++,1410,CS,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Statistical Analysis for Natural Science,3311,STAT,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Microbiology,2305,MBIO,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Microbiology Lab,2105,MBIO,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Physics I,1307,PHYS,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Physics Laboratory I,1107,PHYS,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Physics I,2401,PHYS,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Physics Laboratory I,2101,PHYS,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Physics II,1308,PHYS,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Physics Laboratory II,1108,PHYS,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Physics II,2402,PHYS,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Physics Laboratory II,2102,PHYS,Mathematics and Science,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Genetics,3303,BIOL,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Genetics Laboratory,3103,BIOL,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Organic Chemistry I,3301,CHEM,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Organic Chemistry Laboratory I,3201,CHEM,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Biochemistry I,4340,CHEM,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Biochemistry Lab I,4140,CHEM,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Biological Evolution,3306,BIOL,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Evolution of the Earth and its Inhabitants,4301,BIOL,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Evolution of the Earth and its Inhabitants,4301,GEOL,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Biology Seminar,4210,BIOL,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Microbiology Seminar,4210,MBIO,Biology Courses,Major Requirements
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Undergraduate Research,3300,BIOL,One of the Following:,Biology Courses
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Advanced Laboratory in Cell and Molecular Biology,4230,BIOL,One of the Following:,Biology Courses
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Cell Biology Laboratory,4232,BIOL,One of the Following:,Biology Courses
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Environmental Laboratory and Field Studies,4260,BIOL,One of the Following:,Biology Courses
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Senior Honors Thesis,4399,BIOL,One of the Following:,Biology Courses
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Molecular Biology,4330,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Cellular Biology,4320,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Plant Biology,3330,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Plant Biology Laboratory,3130,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Cancer Biology,3308,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Introduction to Genomics and Bioinformatics,4220,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Advanced Laboratory in Cell and Molecular Biology,4230,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Cell Biology Laboratory,4232,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Human Genetics,4303,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Histology,4310,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Histology Laboratory,4110,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Principles of Pharmacology and Toxicology,4344,BIOL,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Principles of Pharmacology and Toxicology,4344,CHEM,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,General Biochemistry II,4342,CHEM,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Immunology,4320,MBIO,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Immunology Lab,4120,MBIO,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Virology,3320,MBIO,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biology-molecular-and-cellular-biosciences-concentration-bs,Biology Molecular And Cellular Biosciences Concentration BS,Microbial Biotechnology,4310,MBIO,Courses for the Concentration (20 hours),Courses for the Concentration (20 hours)
biotechnology-bs,Biotechnology BS,Business and Technical Report Writing,3302,ENG,Technical Writing Course,Major Requirements
biotechnology-bs,Biotechnology BS,Medical Writing,3325,ENG,Technical Writing Course,Major Requirements
biotechnology-bs,Biotechnology BS,Proposal Writing,3326,ENG,Technical Writing Course,Major Requirements
biotechnology-bs,Biotechnology BS,Environmental Writing,3329,ENG,Technical Writing Course,Major Requirements
biotechnology-bs,Biotechnology BS,Science Writing,4306,ENG,Technical Writing Course,Major Requirements
biotechnology-bs,Biotechnology BS,General Biology I,1301,BIOL,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Biology Laboratory I,1101,BIOL,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Biology II,1302,BIOL,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Biology Laboratory II,1102,BIOL,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Chemistry I,1307,CHEM,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Chemistry Laboratory I,1107,CHEM,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Chemistry II,1308,CHEM,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Chemistry Laboratory II,1108,CHEM,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,Calculus I for the Natural Sciences,2411,MATH,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,Calculus I,2401,MATH,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,Calculus II for the Natural Sciences,2412,MATH,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,Introduction to Computer Science with Visual Basic,1408,CS,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,CS I-Introduction to Computer Science with C++,1410,CS,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,Statistical Analysis for Natural Science,3311,STAT,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Microbiology,2305,MBIO,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Microbiology Lab,2105,MBIO,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Physics I,1307,PHYS,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Physics Laboratory I,1107,PHYS,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,Physics I,2401,PHYS,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,Physics Laboratory I,2101,PHYS,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Physics II,1308,PHYS,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Physics Laboratory II,1108,PHYS,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,Physics II,2402,PHYS,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,Physics Laboratory II,2102,PHYS,Mathematics and Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Genetics,3303,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Genetics Laboratory,3103,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Plant Biology,3330,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Plant Biology Laboratory,3130,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Biology of Fungi,3340,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Biology of Fungi Laboratory,3140,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Biology Seminar,4210,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Microbiology Seminar,4210,MBIO,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Advanced Laboratory in Cell and Molecular Biology,4230,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Cell Biology Laboratory,4232,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Introduction to Genomics and Bioinformatics,4220,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Molecular Biology,4330,BIOL,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Organic Chemistry I,3301,CHEM,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Organic Chemistry Laboratory I,3201,CHEM,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Biochemistry I,4340,CHEM,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,General Biochemistry Lab I,4140,CHEM,Upper-Level Science,Major Requirements
biotechnology-bs,Biotechnology BS,Cellular Biology,4320,BIOL,Choose 2 courses,Foundational Content
biotechnology-bs,Biotechnology BS,Microbial Biotechnology,4310,MBIO,Choose 2 courses,Foundational Content
biotechnology-bs,Biotechnology BS,Microbial Genetics,4330,MBIO,Choose 2 courses,Foundational Content
biotechnology-bs,Biotechnology BS,Immunology,4320,MBIO,Choose 2 courses,Foundational Content
biotechnology-bs,Biotechnology BS,Immunology Lab,4120,MBIO,Choose 2 courses,Foundational Content
biotechnology-bs,Biotechnology BS,Organic Chemistry II,3302,CHEM,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Organic Chemistry Laboratory II,3202,CHEM,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,General Biochemistry II,4342,CHEM,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Quantitative Analysis,3310,CHEM,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Quantitative Analysis Laboratory,3110,CHEM,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Industrial Organic Chemistry,4360,CHEM,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Polymer Chemistry,4364,CHEM,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Instrumental Methods of Analysis,4410,CHEM,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Time Series,4307,STAT,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Differential Equations,3301,MATH,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Introduction to Partial Differential Equations,4304,MATH,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Mathematical Modeling,4315,MATH,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Directed Study in Mathematics,4399,MATH,Choose 2 Courses,Chemistry and Mathematics Content
biotechnology-bs,Biotechnology BS,Introduction to Neuroscience,3307,BIOL,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Human Genetics,4303,BIOL,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Parasitology,4313,BIOL,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Parasitology Laboratory,4113,BIOL,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Principles of Pharmacology and Toxicology,4344,BIOL,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Principles of Pharmacology and Toxicology,4344,CHEM,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Numerical Methods,3308,MATH,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Virology,3320,MBIO,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Environmental Microbiology,3340,MBIO,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Medical Microbiology,4340,MBIO,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Medical Microbiology Lab,4140,MBIO,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Object-Oriented Programming and Concepts,3300,CS,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Mathematical Models and Computer Simulation,4306,CS,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Parallel Computing,4328,CS,Choose 2 Courses,Focus Content
biotechnology-bs,Biotechnology BS,Directed Study in Computer Science,4399,CS,Choose 2 Courses,Focus Content
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,Business and Technical Report Writing,3302,ENG,Technical Writing Course,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,Medical Writing,3325,ENG,Technical Writing Course,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,Proposal Writing,3326,ENG,Technical Writing Course,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,Environmental Writing,3329,ENG,Technical Writing Course,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,Science Writing,4306,ENG,Technical Writing Course,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,General Biology I,1301,BIOL,Science and Mathematics,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,General Biology Laboratory I,1101,BIOL,Science and Mathematics,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,General Biology II,1302,BIOL,Science and Mathematics,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,General Biology Laboratory II,1102,BIOL,Science and Mathematics,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,General Chemistry I,1307,CHEM,Science and Mathematics,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,General Chemistry Laboratory I,1107,CHEM,Science and Mathematics,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,General Chemistry II,1308,CHEM,Science and Mathematics,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,General Chemistry Laboratory II,1108,CHEM,Science and Mathematics,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,Calculus I for the Natural Sciences,2411,MATH,Science and Mathematics,Major Requirements
chemistry-biochemistry-concentration-bs,Chemistry Biochemistry Concentration BS,Calculus II for the Natural Sciences,2412,MATH,Science and Mathematics,Major Requirements
