degree_name,course_rubric,course_number,course_name,other_component_name,other_component_hours
Anthropology B.S.,GEOG,4321,Fundamentals of Geographic Information Systems,Major Requirements,42
Geography B.S.,GEOG,1303,World Regional Geography,Major Requirements,36
Geography B.S.,GEOG,4300,Geography of the United States and Canada,Major Requirements,36
Geography B.S.,GEOG,4301,Urban Geography,Major Requirements,36
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,1304,World Art Survey II,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,1311,Design Foundations,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,1316,Drawing Foundations,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,2371,Digital Photography,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,3310,Sculpture,Major Requirements,43
Mathematics B.S. with Mathematics 7-12 Certification,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,ASTR,1304,Solar System,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Physics B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Physics B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Physics B.S.,HUMN,1301,Humanities,University Core Requirements,42
Physics B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Physics B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Physics B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Physics B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Public Service Leadership B.S.,ENSC,1301,Environmental Science I,University Core Requirements,42
Public Service Leadership B.S.,ENSC,1302,Environmental Science II,University Core Requirements,42
Public Service Leadership B.S.,GEOL,1303,Physical Geology,University Core Requirements,42
Public Service Leadership B.S.,GEOL,1304,Historical Geology,University Core Requirements,42
Mathematical Science B.S.,WRIT,1301,Composition I,University Core Requirements,42
Mathematical Science B.S.,WRIT,1302,Composition II,University Core Requirements,42
Mathematical Science B.S.,MATH,1314,College Algebra,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,POLS,2305,Federal Government,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,POLS,2306,Texas Government,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,COMM,1315,Public Speaking,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,BIOL,2101,Laboratory for Anatomy and Physiology I,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,WRIT,1301,Composition I,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,WRIT,1302,Composition II,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,MATH,2413,Calculus I,University Core Requirements,42
Pre-Engineering,ENGR,1201,Introduction to Engineering,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,CHEM,1311,General Chemistry I,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,CHEM,1111,Laboratory for General Chemistry I,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,MATH,2413,Calculus I,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,PSYC,1100,Learning Frameworks,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,WRIT,1302,Composition II,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,CHEM,1312,General Chemistry II,Specialization in Chemical EngineeringRequirements,
Fitness and Human Performance B.S.,GEOG,4312,Human Geography,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,2303,Personal Health and Fitness,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,3315,Health Promotion Programs,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,3318,Introduction to Community Health,Major Requirements,42
Professional Accounting Integrated B.S. and M.S.,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,ENSC,1301,Environmental Science I,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,ENSC,1302,Environmental Science II,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,GEOL,1303,Physical Geology,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,HIST,1302,United States History II,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,POLS,2305,Federal Government,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,POLS,2306,Texas Government,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,COMM,1315,Public Speaking,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,CHEM,1311,General Chemistry I,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,CHEM,1312,General Chemistry II,University Core Requirements,42
Psychology B.S.,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Psychology B.S.,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Psychology B.S.,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Psychology B.S.,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Psychology B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Psychology B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Sociology B.S.,GEOL,1304,Historical Geology,University Core Requirements,42
Sociology B.S.,PHYS,1301,College Physics I,University Core Requirements,42
Sociology B.S.,PHYS,1302,College Physics II,University Core Requirements,42
Sociology B.S.,PHYS,2325,University Physics I,University Core Requirements,42
Sociology B.S.,PHYS,2326,University Physics II,University Core Requirements,42
Sociology B.S.,HUMN,1301,Humanities,University Core Requirements,42
General Business B.S.,ISAM,3303,Information Systems for Management,College Core Requirements,
General Business B.S.,MGMT,3301,Management Theory and Practice,College Core Requirements,
General Business B.S.,MGMT,4312,Strategic Management Capstone,College Core Requirements,
General Business B.S.,MKTG,3301,Principles of Marketing,College Core Requirements,
General Business B.S.,WRIT,3312,Written Communications in Business,College Core Requirements,
Social Work B.S.W.,ENSC,1301,Environmental Science I,University Core Requirements,42
Social Work B.S.W.,ENSC,1302,Environmental Science II,University Core Requirements,42
Social Work B.S.W.,GEOL,1303,Physical Geology,University Core Requirements,42
Social Work B.S.W.,GEOL,1304,Historical Geology,University Core Requirements,42
Social Work B.S.W.,PHYS,1301,College Physics I,University Core Requirements,42
Social Work B.S.W.,PHYS,1302,College Physics II,University Core Requirements,42
Social Work B.S.W.,PHYS,2325,University Physics I,University Core Requirements,42
Finance B.S.,MKTG,3301,Principles of Marketing,College Core Requirements,
Finance B.S.,WRIT,3312,Written Communications in Business,College Core Requirements,
Finance B.S.,ACCT,3341,Intermediate Accounting I,Major Requirements,18
Finance B.S.,ACCT,3332,Financial Reporting and Analysis,Major Requirements,18
Finance B.S.,ACCT,3342,Intermediate Accounting II,Major Requirements,18
Accounting B.S.,FINC,3331,Business Finance,College Core Requirements,
Accounting B.S.,ISAM,3303,Information Systems for Management,College Core Requirements,
Accounting B.S.,MGMT,3301,Management Theory and Practice,College Core Requirements,
Accounting B.S.,MGMT,4312,Strategic Management Capstone,College Core Requirements,
Accounting B.S.,MKTG,3301,Principles of Marketing,College Core Requirements,
Art and Design B.F.A.,PHIL,4314,The Great Philosophers I,College Core Requirements,6
Art and Design B.F.A.,PHIL,4315,The Great Philosophers II,College Core Requirements,6
Art and Design B.F.A.,ARTS,1303,World Art Survey I,Major Requirements,72
Art and Design B.F.A.,ARTS,1304,World Art Survey II,Major Requirements,72
Art and Design B.F.A.,ARTS,1311,Design Foundations,Major Requirements,72
Environmental Science B.S.,STAT,3308,Computational Statistics,Major Requirements,33
Environmental Science B.S.,BIOL,1306,Biology for Science Majors I,SpecializationRequirements,44
Environmental Science B.S.,BIOL,1106,Laboratory for Biology for Science Majors I,SpecializationRequirements,44
Environmental Science B.S.,BIOL,1307,Biology for Science Majors II,SpecializationRequirements,44
Environmental Science B.S.,BIOL,1107,Laboratory for Biology for Science Majors II,SpecializationRequirements,44
Environmental Science B.S.,BIOL,4334,Environmental Microbiology,SpecializationRequirements,44
Criminology B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Criminology B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Criminology B.S.,WRIT,3307,Advanced Writing,College Core Requirements,
Criminology B.S.,ANTH,3311,Contemporary Cultural Anthropology,Major Requirements,48
Criminology B.S.,CRIM,1301,Introduction to Criminal Justice,Major Requirements,48
Criminology B.S.,CRIM,3312,Criminology,Major Requirements,48
Environmental Management B.S.,ENVR,4312,Water Management Principles,Major Requirements,45
Environmental Management B.S.,ENVR,4317,Solid Waste Management Practices,Major Requirements,45
Environmental Management B.S.,ENVR,4391,Selected Topics in Environmental Management,Major Requirements,45
Environmental Management B.S.,GEOG,4301,Urban Geography,Major Requirements,45
Environmental Management B.S.,GEOG,4312,Human Geography,Major Requirements,45
Geography B.S. with Social Studies 7-12 Certification,GEOG,4301,Urban Geography,Major Requirements,46
Geography B.S. with Social Studies 7-12 Certification,GEOG,4302,Geography of Latin America,Major Requirements,46
Geography B.S. with Social Studies 7-12 Certification,GEOG,4303,Geography of Texas,Major Requirements,46
Geography B.S. with Social Studies 7-12 Certification,GEOG,4312,Human Geography,Major Requirements,46
Geography B.S. with Social Studies 7-12 Certification,GEOG,4314,Teaching Geography,Major Requirements,46
Anthropology B.S.,PSYC,4370,Nonexperimental Methods and Statistics,Major Requirements,42
Anthropology B.S.,SOCI,4384,Statistics,Major Requirements,42
Anthropology B.S.,ANTH,3355,Topics in Asian Studies,Major Requirements,42
Anthropology B.S.,ANTH,3357,Topics in African Studies,Major Requirements,42
Anthropology B.S.,ANTH,3358,Topics in Middle Eastern Societies,Major Requirements,42
Geography B.S.,GEOG,4302,Geography of Latin America,Major Requirements,36
Geography B.S.,GEOG,4303,Geography of Texas,Major Requirements,36
Geography B.S.,GEOG,4312,Human Geography,Major Requirements,36
Geography B.S.,GEOG,4317,Introduction to Globalization,Major Requirements,36
Geography B.S.,GEOG,4321,Fundamentals of Geographic Information Systems,Major Requirements,36
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,3320,Ceramics,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,3331,Intermediate Drawing,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,3335,Intermediate Painting,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,3340,Printmaking,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,3352,Traditional Photography,Major Requirements,43
Mathematics B.S. with Mathematics 7-12 Certification,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,CHEM,1311,General Chemistry I,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,CHEM,1312,General Chemistry II,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,ENSC,1301,Environmental Science I,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,ENSC,1302,Environmental Science II,University Core Requirements,42
Physics B.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Physics B.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Physics B.S.,HIST,1301,United States History I,University Core Requirements,42
Physics B.S.,HIST,1302,United States History II,University Core Requirements,42
Physics B.S.,POLS,2305,Federal Government,University Core Requirements,42
Physics B.S.,POLS,2306,Texas Government,University Core Requirements,42
Physics B.S.,ANTH,2346,General Anthropology,University Core Requirements,42
Public Service Leadership B.S.,PHYS,1301,College Physics I,University Core Requirements,42
Public Service Leadership B.S.,PHYS,1302,College Physics II,University Core Requirements,42
Public Service Leadership B.S.,PHYS,2325,University Physics I,University Core Requirements,42
Public Service Leadership B.S.,PHYS,2326,University Physics II,University Core Requirements,42
Public Service Leadership B.S.,HUMN,1301,Humanities,University Core Requirements,42
Public Service Leadership B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Mathematical Science B.S.,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Mathematical Science B.S.,ASTR,1304,Solar System,University Core Requirements,42
Mathematical Science B.S.,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Mathematical Science B.S.,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Mathematical Science B.S.,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Mathematical Science B.S.,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,BIOL,2102,Laboratory for Anatomy and Physiology II,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,BIOL,2121,Laboratory for Microbiology for Science Majors,Nursing Core Requirements,33
Registered Nurse-Bachelor of Science Nursing B.S.N.,BIOL,2321,Microbiology for Science Majors,Nursing Core Requirements,33
Registered Nurse-Bachelor of Science Nursing B.S.N.,PSYC,2314,Lifespan and Growth Development,Nursing Core Requirements,33
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3309,Role Transition,Major Requirements,30
Mathematics B.A. with Mathematics 4-8 Certification,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,ASTR,1304,Solar System,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Pre-Engineering,CHEM,1112,Laboratory for General Chemistry II,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,COMM,1315,Public Speaking,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,PHYS,2325,University Physics I,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,PHYS,2125,Laboratory for University Physics I,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,MATH,2414,Calculus II,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,POLS,2305,Federal Government,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,PHYS,2326,University Physics II,Specialization in Chemical EngineeringRequirements,
Fitness and Human Performance B.S.,HLTH,3320,Health Inequalities,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,4309,Research Practicum,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,4379,Internship,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,4391,Selected Topics in Health,Major Requirements,42
Fitness and Human Performance B.S.,PSYC,3321,Learning,Major Requirements,42
Professional Accounting Integrated B.S. and M.S.,GEOL,1304,Historical Geology,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,PHYS,1301,College Physics I,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,PHYS,1302,College Physics II,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,PHYS,2325,University Physics I,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,PHYS,2326,University Physics II,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,HUMN,1301,Humanities,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,BIOL,2101,Laboratory for Anatomy and Physiology I,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,BIOL,2102,Laboratory for Anatomy and Physiology II,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,BIOL,2121,Laboratory for Microbiology for Science Majors,Nursing Core Requirements,33
Registered Nurse-Bachelor of Science Nursing B.S.N.,BIOL,2321,Microbiology for Science Majors,Nursing Core Requirements,33
Registered Nurse-Bachelor of Science Nursing B.S.N.,PSYC,2314,Lifespan and Growth Development,Nursing Core Requirements,33
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3309,Role Transition,Major Requirements,30
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,ENSC,1301,Environmental Science I,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,ENSC,1302,Environmental Science II,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,GEOL,1303,Physical Geology,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,GEOL,1304,Historical Geology,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,PHYS,1301,College Physics I,University Core Requirements,42
Psychology B.S.,ENSC,1301,Environmental Science I,University Core Requirements,42
Psychology B.S.,ENSC,1302,Environmental Science II,University Core Requirements,42
Psychology B.S.,GEOL,1303,Physical Geology,University Core Requirements,42
Psychology B.S.,GEOL,1304,Historical Geology,University Core Requirements,42
Psychology B.S.,PHYS,1301,College Physics I,University Core Requirements,42
Psychology B.S.,PHYS,1302,College Physics II,University Core Requirements,42
Psychology B.S.,PHYS,2325,University Physics I,University Core Requirements,42
Sociology B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Sociology B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Sociology B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Sociology B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Sociology B.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Sociology B.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Social Work B.S.W.,PHYS,2326,University Physics II,University Core Requirements,42
Social Work B.S.W.,HUMN,1301,Humanities,University Core Requirements,42
Social Work B.S.W.,LITR,2341,Literature and Experience,University Core Requirements,42
Social Work B.S.W.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Social Work B.S.W.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Social Work B.S.W.,ARTS,1303,World Art Survey I,University Core Requirements,42
Finance B.S.,FINC,4341,Structure of Financial Statements,Major Requirements,18
Finance B.S.,FINC,3333,Intermediate Financial Management,Major Requirements,18
Finance B.S.,FINC,3353,Investments,Major Requirements,18
Finance B.S.,FINC,4331,Contemporary Financial Institutions,Major Requirements,18
Accounting B.S.,WRIT,3312,Written Communications in Business,College Core Requirements,
Accounting B.S.,ACCT,3333,Cost Accounting,Major Requirements,21
Accounting B.S.,ACCT,3341,Intermediate Accounting I,Major Requirements,21
Accounting B.S.,ACCT,3342,Intermediate Accounting II,Major Requirements,21
Accounting B.S.,ACCT,4331,Federal Taxation of Individuals,Major Requirements,21
Art and Design B.F.A.,ARTS,1316,Drawing Foundations,Major Requirements,72
Art and Design B.F.A.,ARTS,2316,Painting,Major Requirements,72
Art and Design B.F.A.,ARTS,2371,Digital Photography,Major Requirements,72
Art and Design B.F.A.,ARTS,4374,Modern Art,Major Requirements,72
Art and Design B.F.A.,ARTS,3310,Sculpture,Major Requirements,72
Environmental Science B.S.,BIOL,4311,Ecology,SpecializationRequirements,44
Environmental Science B.S.,BIOL,4323,Field Biology,SpecializationRequirements,44
Environmental Science B.S.,BIOL,4325,Environmental Toxicology,SpecializationRequirements,44
Environmental Science B.S.,BIOL,4344,Comparative Animal Physiology,SpecializationRequirements,44
Environmental Science B.S.,CHEM,4251,Laboratory for Environmental Analysis,SpecializationRequirements,44
Environmental Science B.S.,CHEM,4355,Environmental Sampling and Monitoring,SpecializationRequirements,44
Criminology B.S.,CRIM,4313,Juvenile Delinquency,Major Requirements,48
Criminology B.S.,CRIM,4331,Prison and Society,Major Requirements,48
Criminology B.S.,CRIM,4334,Criminal Law,Major Requirements,48
Criminology B.S.,CRIM,4335,Race and Justice,Major Requirements,48
Criminology B.S.,CRIM,4338,Policing and Society,Major Requirements,48
Criminology B.S.,CRIM,4384,Statistics,Major Requirements,48
Environmental Management B.S.,LEGL,3351,Legal Research,Major Requirements,45
Environmental Management B.S.,LEGL,4353,Dispute Resolution,Major Requirements,45
Environmental Management B.S.,MGMT,3313,Organizational Communication,Major Requirements,45
Environmental Management B.S.,MGMT,3331,Human Resource Management,Major Requirements,45
Environmental Management B.S.,MGMT,4326,Effective Negotiations,Major Requirements,45
Geography B.S. with Social Studies 7-12 Certification,GEOG,4317,Introduction to Globalization,Major Requirements,46
Geography B.S. with Social Studies 7-12 Certification,GEOG,4321,Fundamentals of Geographic Information Systems,Major Requirements,46
Geography B.S. with Social Studies 7-12 Certification,HIST,2301,Texas History,Major Requirements,46
Geography B.S. with Social Studies 7-12 Certification,LLLS,4351,Reading in Content Subjects,Major Requirements,46
Anthropology B.S.,ANTH,4301,Studies in Cultural Diversity,Major Requirements,42
Anthropology B.S.,ANTH,4333,Peoples of Mexico and Central America,Major Requirements,42
Anthropology B.S.,ANTH,4341,Gender and Sexuality in Global Perspectives,Major Requirements,42
Anthropology B.S.,PSYC,4308,Perspectives in Women's and Gender Studies,Major Requirements,42
Geography B.S.,GEOG,4323,Advanced Geographic Information Systems,Major Requirements,36
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,3360,Graphic Design,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,4302,Crafts Design,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,LLLS,4351,Reading in Content Subjects,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,TCED,4102,Secondary 4-8 and 7-12 Content Teacher Seminar,Major Requirements,43
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,4300,Methods in Elementary Art Education,Pedagogy Requirements,18
Mathematics B.S. with Mathematics 7-12 Certification,GEOL,1303,Physical Geology,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,GEOL,1304,Historical Geology,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,PHYS,1301,College Physics I,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,PHYS,1302,College Physics II,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,PHYS,2325,University Physics I,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,PHYS,2326,University Physics II,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,HUMN,1301,Humanities,University Core Requirements,42
Physics B.S.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Physics B.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Physics B.S.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Physics B.S.,GEOG,1303,World Regional Geography,University Core Requirements,42
Physics B.S.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Physics B.S.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Public Service Leadership B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Public Service Leadership B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Public Service Leadership B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Public Service Leadership B.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Public Service Leadership B.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Public Service Leadership B.S.,HIST,1301,United States History I,University Core Requirements,42
Mathematical Science B.S.,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Mathematical Science B.S.,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Mathematical Science B.S.,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Mathematical Science B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Mathematical Science B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3310,Legal and Ethical Issues,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3311,History and Theories of Nursing,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3313,Community Health Nursing,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3314,Trends and Issues in Nursing Practices,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3323,Community Health Nursing Project,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,4313,Nursing Research,Major Requirements,30
Mathematics B.A. with Mathematics 4-8 Certification,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,CHEM,1311,General Chemistry I,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,CHEM,1312,General Chemistry II,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,ENSC,1301,Environmental Science I,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,ENSC,1302,Environmental Science II,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,GEOL,1303,Physical Geology,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,GEOL,1304,Historical Geology,University Core Requirements,42
Pre-Engineering,PHYS,2126,Laboratory for University Physics II,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,MATH,2315,Calculus III,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,CHEM,2323,Organic Chemistry I,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,CHEM,2123,Laboratory for Organic Chemistry I,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,STAT,3334,Probability and Statistics for Scientists and Engineers,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,POLS,2306,Texas Government,Specialization in Chemical EngineeringRequirements,
Fitness and Human Performance B.S.,PSYC,3334,Drugs and Behavior,Major Requirements,42
Fitness and Human Performance B.S.,PSYC,4316,Brain and Behavior,Major Requirements,42
Fitness and Human Performance B.S.,PSYC,4332,Introduction to Industrial/Organizational Psychology,Major Requirements,42
Fitness and Human Performance B.S.,PSYC,4356,The Aging Experience,Major Requirements,42
