degree name,course id,course name,component area,guidance,component guidance,requirement area
Geography B.S. with Social Studies 7-12 Certification,WRIT 3306,Writing for the Social Sciences Credit Hours: 3,College of Human Sciences and Humanities Core Requirements 6 hours,as well as the UHCL Hotline 281-283-2221.,C,Core Requirement 3 hours
Geography B.S. with Social Studies 7-12 Certification,WRIT 3307,Advanced Writing Credit Hours: 3,College of Human Sciences and Humanities Core Requirements 6 hours,as well as the UHCL Hotline 281-283-2221.,C,Core Requirement 3 hours
Geography B.S. with Social Studies 7-12 Certification,EDUC 4310,Theories of Educational Psychology Credit Hours: 3,College of Education Core Requirements 18 hours,as well as the UHCL Hotline 281-283-2221.,"Choose from any 3300/4300-level course in ARTS, COMM, HIST, HUMN, LITR, PHIL, or WRIT.",Core Requirements
Geography B.S. with Social Studies 7-12 Certification,INST 3313,Survey of Instructional Technologies Credit Hours: 3,College of Education Core Requirements 18 hours,as well as the UHCL Hotline 281-283-2221.,"Choose from any 3300/4300-level course in ARTS, COMM, HIST, HUMN, LITR, PHIL, or WRIT.",Core Requirements
Geography B.S. with Social Studies 7-12 Certification,SILC 4315,Theories of American Pluralism Credit Hours: 3,College of Education Core Requirements 18 hours,as well as the UHCL Hotline 281-283-2221.,"Choose from any 3300/4300-level course in ARTS, COMM, HIST, HUMN, LITR, PHIL, or WRIT.",Core Requirements
Anthropology B.S.,PSYC 1100,Learning Frameworks Credit Hours: 1,University Core Requirements 42 Hours,"The Anthropology program emphasizes the study of the whole human being. It is focused on understanding diversity in Houston, the United States, and the world. Through coursework, studentsexplore world cultures and global challenges as well as methods for studying peoples and cultures. Themajor prepares students to be global citizens by promoting skills for engaging responsibly and ethicallyin diverse communities in the United States and globally. In particular, the major fosters a number ofskills, including cross-cultural communication, critical thinking and writing, and qualitative researchand data analysis, which prepare students to respond creatively to the challenges of Houston's diverseand dynamic employment sector. Anthropology students have opportunities for many exciting site visitsto Houston's diverse neighborhoods.",Choose ONE of the following courses.,Component Area Options 3 hours
Anthropology B.S.,WRIT 3306,Writing for the Social Sciences Credit Hours: 3,College Core Requirements 3 hours,"48 hours of upper-level credit must be ""C"" or better.",Choose ONE of the following.,Core Requirement 3 hours
Anthropology B.S.,WRIT 3307,Advanced Writing Credit Hours: 3,College Core Requirements 3 hours,"48 hours of upper-level credit must be ""C"" or better.",Choose ONE of the following.,Core Requirement 3 hours
Anthropology B.S.,HUMN 3374,Critical Inquiry Credit Hours: 3,Major Requirements 42 hours,"48 hours of upper-level credit must be ""C"" or better.",HUMN 3374 and HUMN 3375 are strongly recommended.,Choose ONE of:
Anthropology B.S.,HUMN 3375,Ideas in Transition Credit Hours: 3,Major Requirements 42 hours,"48 hours of upper-level credit must be ""C"" or better.",HUMN 3374 and HUMN 3375 are strongly recommended.,Choose ONE of:
Anthropology B.S.,LITR 3334,Mythology Credit Hours: 3,Major Requirements 42 hours,"48 hours of upper-level credit must be ""C"" or better.",HUMN 3374 and HUMN 3375 are strongly recommended.,Choose ONE of:
Geography B.S.,COMM 1315,Public Speaking Credit Hours: 3,University Core Requirements 42 Hours,"Please note that the B.S. in Geography curriculum will undergo significant changes for publication in the 2018-2019 catalog. Specifically, the curriculum will shift from general geographyto a more applied degree focused on geographic information systems and geo-spatial analysis. Students are encouraged to contact the Geography program director for more information.",Students cannot choose GEOG 1303 to meet this requirement.,Public Speaking 3 hours
Geography B.S.,PSYC 1100,Learning Frameworks Credit Hours: 1,University Core Requirements 42 Hours,"Please note that the B.S. in Geography curriculum will undergo significant changes for publication in the 2018-2019 catalog. Specifically, the curriculum will shift from general geographyto a more applied degree focused on geographic information systems and geo-spatial analysis. Students are encouraged to contact the Geography program director for more information.",Students cannot choose GEOG 1303 to meet this requirement.,Component Area Options 3 hours
Geography B.S.,WRIT 3306,Writing for the Social Sciences Credit Hours: 3,College Core Requirements 3 hours,"Please note that the B.S. in Geography curriculum will undergo significant changes for publication in the 2018-2019 catalog. Specifically, the curriculum will shift from general geographyto a more applied degree focused on geographic information systems and geo-spatial analysis. Students are encouraged to contact the Geography program director for more information.",Choose ONE of the following courses.,Core Requirement 3hours
Geography B.S.,WRIT 3307,Advanced Writing Credit Hours: 3,College Core Requirements 3 hours,"Please note that the B.S. in Geography curriculum will undergo significant changes for publication in the 2018-2019 catalog. Specifically, the curriculum will shift from general geographyto a more applied degree focused on geographic information systems and geo-spatial analysis. Students are encouraged to contact the Geography program director for more information.",Choose ONE of the following courses.,Core Requirement 3hours
Geography B.S.,SOCI 4384,Statistics Credit Hours: 3,Major Requirements 36 hours,"Please note that the B.S. in Geography curriculum will undergo significant changes for publication in the 2018-2019 catalog. Specifically, the curriculum will shift from general geographyto a more applied degree focused on geographic information systems and geo-spatial analysis. Students are encouraged to contact the Geography program director for more information.","Advanced Writing - Grade of ""B-"" or better is required.",Sociology Course
Geography B.S.,GEOG 1301,Modern Physical Geography Credit Hours: 3,Major Requirements 36 hours,"Please note that the B.S. in Geography curriculum will undergo significant changes for publication in the 2018-2019 catalog. Specifically, the curriculum will shift from general geographyto a more applied degree focused on geographic information systems and geo-spatial analysis. Students are encouraged to contact the Geography program director for more information.","Advanced Writing - Grade of ""B-"" or better is required.",Geography Courses
Art and Design B.F.A. with Grades EC-12 Art Certification,EDUC 4310,Theories of Educational Psychology Credit Hours: 3,College of Education Core Requirements 18 hours,"48 hours of upper-level credit must be ""C"" or better.","Grade of ""B-"" or better is required.",Core Requirements
Art and Design B.F.A. with Grades EC-12 Art Certification,INST 3313,Survey of Instructional Technologies Credit Hours: 3,College of Education Core Requirements 18 hours,"48 hours of upper-level credit must be ""C"" or better.","Grade of ""B-"" or better is required.",Core Requirements
Art and Design B.F.A. with Grades EC-12 Art Certification,SILC 4315,Theories of American Pluralism Credit Hours: 3,College of Education Core Requirements 18 hours,"48 hours of upper-level credit must be ""C"" or better.","Grade of ""B-"" or better is required.",Core Requirements
Art and Design B.F.A. with Grades EC-12 Art Certification,SPED 2301,Introduction to Special Populations Credit Hours: 3,College of Education Core Requirements 18 hours,"48 hours of upper-level credit must be ""C"" or better.","Grade of ""B-"" or better is required.",Core Requirements
Art and Design B.F.A. with Grades EC-12 Art Certification,SPED 4300,Survey of Exceptionalities Credit Hours: 3,College of Education Core Requirements 18 hours,"48 hours of upper-level credit must be ""C"" or better.","Grade of ""B-"" or better is required.",Core Requirements
Art and Design B.F.A. with Grades EC-12 Art Certification,TCED 1301,Exploring Teaching as a Profession Credit Hours: 3,College of Education Core Requirements 18 hours,"48 hours of upper-level credit must be ""C"" or better.","Grade of ""B-"" or better is required.",Core Requirements
Mathematics B.S. with Mathematics 7-12 Certification,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 42 Hours,as well as the UHCL Hotline 281-283-2221.,,Communication 6 hours
Mathematics B.S. with Mathematics 7-12 Certification,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 Hours,as well as the UHCL Hotline 281-283-2221.,,Communication 6 hours
Mathematics B.S. with Mathematics 7-12 Certification,MATH 2413,Calculus I Credit Hours: 4,University Core Requirements 42 Hours,as well as the UHCL Hotline 281-283-2221.,,Mathematics 3 hours
Physics B.S.,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 42 Hours,"This degree requires 120 hours and includes 42 hours of University Core. However; some of the Major Requirements courses listed below also satisfy University Core. If other courses are taken to satisfy University Core, the Major Requirements below are still necessary for graduation and substitutions are not accepted.",,Communication 6 hours
Physics B.S.,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 Hours,"This degree requires 120 hours and includes 42 hours of University Core. However; some of the Major Requirements courses listed below also satisfy University Core. If other courses are taken to satisfy University Core, the Major Requirements below are still necessary for graduation and substitutions are not accepted.",,Communication 6 hours
Physics B.S.,MATH 2413,Calculus I Credit Hours: 4,University Core Requirements 42 Hours,"This degree requires 120 hours and includes 42 hours of University Core. However; some of the Major Requirements courses listed below also satisfy University Core. If other courses are taken to satisfy University Core, the Major Requirements below are still necessary for graduation and substitutions are not accepted.",,Mathematics 4 hours
Public Service Leadership B.S.,BIOL 1308,Biology for Non-Science Majors I,University Core Requirements 42 Hours,"The major in Public Service Leadership serves students seeking leadership preparation for careers inpublic service. Public service leaders may be administrators, trainers, public officials, or leaders inmunicipal fire, emergency management, and police departments. This major provides students withknowledge and skills pertaining to leadership, managerial principles, conflict resolution, strategicplanning, and organizational communication.",Choose ONE of the following courses.,Life and Physical Sciences 6 hours
Public Service Leadership B.S.,BIOL 1309,Biology for Non-Science Majors II Credit Hours: 3,University Core Requirements 42 Hours,"The major in Public Service Leadership serves students seeking leadership preparation for careers inpublic service. Public service leaders may be administrators, trainers, public officials, or leaders inmunicipal fire, emergency management, and police departments. This major provides students withknowledge and skills pertaining to leadership, managerial principles, conflict resolution, strategicplanning, and organizational communication.",Choose ONE of the following courses.,Life and Physical Sciences 6 hours
Public Service Leadership B.S.,BIOL 2301,Anatomy & Physiology I Credit Hours: 3,University Core Requirements 42 Hours,"The major in Public Service Leadership serves students seeking leadership preparation for careers inpublic service. Public service leaders may be administrators, trainers, public officials, or leaders inmunicipal fire, emergency management, and police departments. This major provides students withknowledge and skills pertaining to leadership, managerial principles, conflict resolution, strategicplanning, and organizational communication.",Choose ONE of the following courses.,Life and Physical Sciences 6 hours
Public Service Leadership B.S.,BIOL 2302,Anatomy & Physiology II Credit Hours: 3,University Core Requirements 42 Hours,"The major in Public Service Leadership serves students seeking leadership preparation for careers inpublic service. Public service leaders may be administrators, trainers, public officials, or leaders inmunicipal fire, emergency management, and police departments. This major provides students withknowledge and skills pertaining to leadership, managerial principles, conflict resolution, strategicplanning, and organizational communication.",Choose ONE of the following courses.,Life and Physical Sciences 6 hours
Public Service Leadership B.S.,CHEM 1305,Introductory Chemistry I Credit Hours: 3,University Core Requirements 42 Hours,"The major in Public Service Leadership serves students seeking leadership preparation for careers inpublic service. Public service leaders may be administrators, trainers, public officials, or leaders inmunicipal fire, emergency management, and police departments. This major provides students withknowledge and skills pertaining to leadership, managerial principles, conflict resolution, strategicplanning, and organizational communication.",Choose ONE of the following courses.,Life and Physical Sciences 6 hours
Public Service Leadership B.S.,CHEM 1311,General Chemistry I,University Core Requirements 42 Hours,"The major in Public Service Leadership serves students seeking leadership preparation for careers inpublic service. Public service leaders may be administrators, trainers, public officials, or leaders inmunicipal fire, emergency management, and police departments. This major provides students withknowledge and skills pertaining to leadership, managerial principles, conflict resolution, strategicplanning, and organizational communication.",Choose ONE of the following courses.,Life and Physical Sciences 6 hours
Public Service Leadership B.S.,CHEM 1312,General Chemistry II Credit Hours: 3,University Core Requirements 42 Hours,"The major in Public Service Leadership serves students seeking leadership preparation for careers inpublic service. Public service leaders may be administrators, trainers, public officials, or leaders inmunicipal fire, emergency management, and police departments. This major provides students withknowledge and skills pertaining to leadership, managerial principles, conflict resolution, strategicplanning, and organizational communication.",Choose ONE of the following courses.,Life and Physical Sciences 6 hours
Registered Nurse-Bachelor of Science Nursing B.S.N.,PHIL 1301,Introduction to Philosophy Credit Hours: 3,University Core Requirements 42 Hours,.,Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Registered Nurse-Bachelor of Science Nursing B.S.N.,WGST 1301,Gender Matters: Introduction to Women's and Gender Studies Credit Hours: 3,University Core Requirements 42 Hours,.,Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Registered Nurse-Bachelor of Science Nursing B.S.N.,ARTS 1303,World Art Survey I Credit Hours: 3,University Core Requirements 42 Hours,.,Choose ONE of the following courses.,Creative Arts 3 Hours
Registered Nurse-Bachelor of Science Nursing B.S.N.,ARTS 1304,World Art Survey II Credit Hours: 3,University Core Requirements 42 Hours,.,Choose ONE of the following courses.,Creative Arts 3 Hours
Registered Nurse-Bachelor of Science Nursing B.S.N.,ARTS 2379,Arts and the Child Credit Hours: 3,University Core Requirements 42 Hours,.,Choose ONE of the following courses.,Creative Arts 3 Hours
Registered Nurse-Bachelor of Science Nursing B.S.N.,HIST 1301,United States History I Credit Hours: 3,University Core Requirements 42 Hours,.,Choose ONE of the following courses.,U.S. History 6 hours
Registered Nurse-Bachelor of Science Nursing B.S.N.,HIST 1302,United States History II Credit Hours: 3,University Core Requirements 42 Hours,.,Choose ONE of the following courses.,U.S. History 6 hours
Pre-Engineering,WRIT 1301,Composition I Credit Hours: 3,Specialization in Chemical EngineeringRequirements,Students who do not transfer to UH-Central will have an option to transfer to other universities pending,,Semester 1 17 credits
Pre-Engineering,HIST 1301,United States History I Credit Hours: 3,Specialization in Chemical EngineeringRequirements,Students who do not transfer to UH-Central will have an option to transfer to other universities pending,,Semester 1 17 credits
Fitness and Human Performance B.S.,HLTH 4391,Selected Topics in Health Credit Hours: 3,Major Requirements 42 hours,Up to 24 hours based on the specific concentration.,Choose ONE of the following courses.,Exercise Science Concentration
Fitness and Human Performance B.S.,PSYC 4316,Brain and Behavior Credit Hours: 3,Major Requirements 42 hours,Up to 24 hours based on the specific concentration.,Choose ONE of the following courses.,Exercise Science Concentration
Fitness and Human Performance B.S.,PSYC 4370,Nonexperimental Methods and Statistics Credit Hours: 3,Major Requirements 42 hours,Up to 24 hours based on the specific concentration.,Choose ONE of the following courses.,Exercise Science Concentration
Fitness and Human Performance B.S.,PSYC 4371,Experimental Methods and Statistics Credit Hours: 3,Major Requirements 42 hours,Up to 24 hours based on the specific concentration.,Choose ONE of the following courses.,Exercise Science Concentration
Fitness and Human Performance B.S.,ANTH 3362,"Medicine, Bodies, and Culture Credit Hours: 3",Major Requirements 42 hours,Up to 24 hours based on the specific concentration.,Choose ONE of the following courses.,Health Promotion Concentration
Professional Accounting Integrated B.S. and M.S.,MATH 1324,Mathematics for Business and Social Sciences. Credit Hours: 3,University Core Requirements 42 Hours,The integrated B.S. and M.S. in Professional Accounting degre program wil include 114 hours of undergraduate and 36 hours of graduate course work.,,Mathematics 3 hours
Professional Accounting Integrated B.S. and M.S.,ASTR 1303,Stars and Galaxies Credit Hours: 3,University Core Requirements 42 Hours,The integrated B.S. and M.S. in Professional Accounting degre program wil include 114 hours of undergraduate and 36 hours of graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Professional Accounting Integrated B.S. and M.S.,ASTR 1304,Solar System Credit Hours: 3,University Core Requirements 42 Hours,The integrated B.S. and M.S. in Professional Accounting degre program wil include 114 hours of undergraduate and 36 hours of graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Professional Accounting Integrated B.S. and M.S.,BIOL 1306,Biology for Science Majors I Credit Hours: 3,University Core Requirements 42 Hours,The integrated B.S. and M.S. in Professional Accounting degre program wil include 114 hours of undergraduate and 36 hours of graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Professional Accounting Integrated B.S. and M.S.,BIOL 1307,Biology for Science Majors II Credit Hours: 3,University Core Requirements 42 Hours,The integrated B.S. and M.S. in Professional Accounting degre program wil include 114 hours of undergraduate and 36 hours of graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Professional Accounting Integrated B.S. and M.S.,BIOL 1308,Biology for Non-Science Majors I,University Core Requirements 42 Hours,The integrated B.S. and M.S. in Professional Accounting degre program wil include 114 hours of undergraduate and 36 hours of graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Professional Accounting Integrated B.S. and M.S.,BIOL 1309,Biology for Non-Science Majors II Credit Hours: 3,University Core Requirements 42 Hours,The integrated B.S. and M.S. in Professional Accounting degre program wil include 114 hours of undergraduate and 36 hours of graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Professional Accounting Integrated B.S. and M.S.,BIOL 2301,Anatomy & Physiology I Credit Hours: 3,University Core Requirements 42 Hours,The integrated B.S. and M.S. in Professional Accounting degre program wil include 114 hours of undergraduate and 36 hours of graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Registered Nurse-Bachelor of Science Nursing B.S.N.,LITR 2341,Literature and Experience Credit Hours: 3,University Core Requirements 42 Hours,. The typical cohort size is 30 students.,Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Registered Nurse-Bachelor of Science Nursing B.S.N.,PHIL 1301,Introduction to Philosophy Credit Hours: 3,University Core Requirements 42 Hours,. The typical cohort size is 30 students.,Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Registered Nurse-Bachelor of Science Nursing B.S.N.,WGST 1301,Gender Matters: Introduction to Women's and Gender Studies Credit Hours: 3,University Core Requirements 42 Hours,. The typical cohort size is 30 students.,Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Registered Nurse-Bachelor of Science Nursing B.S.N.,ARTS 1303,World Art Survey I Credit Hours: 3,University Core Requirements 42 Hours,. The typical cohort size is 30 students.,Choose ONE of the following courses.,Creative Arts 3 Hours
Registered Nurse-Bachelor of Science Nursing B.S.N.,ARTS 1304,World Art Survey II Credit Hours: 3,University Core Requirements 42 Hours,. The typical cohort size is 30 students.,Choose ONE of the following courses.,Creative Arts 3 Hours
Registered Nurse-Bachelor of Science Nursing B.S.N.,ARTS 2379,Arts and the Child Credit Hours: 3,University Core Requirements 42 Hours,. The typical cohort size is 30 students.,Choose ONE of the following courses.,Creative Arts 3 Hours
Registered Nurse-Bachelor of Science Nursing B.S.N.,HIST 1301,United States History I Credit Hours: 3,University Core Requirements 42 Hours,. The typical cohort size is 30 students.,Choose ONE of the following courses.,U.S. History 6 hours
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 Hours,Students in the integrated Professional Accounting degree program may complete a Concentration in Management Information Systems by completing a setcombination of undergraduate and graduate course work.,,Communication 6 hours
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,MATH 1324,Mathematics for Business and Social Sciences. Credit Hours: 3,University Core Requirements 42 Hours,Students in the integrated Professional Accounting degree program may complete a Concentration in Management Information Systems by completing a setcombination of undergraduate and graduate course work.,"WRIT 1301 and WRIT 1302 must be ""C-"" or better.",Mathematics 3 hours
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,ASTR 1303,Stars and Galaxies Credit Hours: 3,University Core Requirements 42 Hours,Students in the integrated Professional Accounting degree program may complete a Concentration in Management Information Systems by completing a setcombination of undergraduate and graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,ASTR 1304,Solar System Credit Hours: 3,University Core Requirements 42 Hours,Students in the integrated Professional Accounting degree program may complete a Concentration in Management Information Systems by completing a setcombination of undergraduate and graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,BIOL 1306,Biology for Science Majors I Credit Hours: 3,University Core Requirements 42 Hours,Students in the integrated Professional Accounting degree program may complete a Concentration in Management Information Systems by completing a setcombination of undergraduate and graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,BIOL 1307,Biology for Science Majors II Credit Hours: 3,University Core Requirements 42 Hours,Students in the integrated Professional Accounting degree program may complete a Concentration in Management Information Systems by completing a setcombination of undergraduate and graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,BIOL 1308,Biology for Non-Science Majors I,University Core Requirements 42 Hours,Students in the integrated Professional Accounting degree program may complete a Concentration in Management Information Systems by completing a setcombination of undergraduate and graduate course work.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Psychology B.S.,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduate General Psychology Program at UHCL provides a high-quality curriculum that meets student career goals and community needs. Students have the opportunity to receive a comprehensive overview of psychology, develop academic and critical thinking skills, reach career goals, uphold ethical standards, and become life-long learners.",,Communication 6 hours
Psychology B.S.,MATH 1314,College Algebra Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduate General Psychology Program at UHCL provides a high-quality curriculum that meets student career goals and community needs. Students have the opportunity to receive a comprehensive overview of psychology, develop academic and critical thinking skills, reach career goals, uphold ethical standards, and become life-long learners.",,Mathematics 3 hours
Psychology B.S.,MATH 1332,Contemporary Mathematics Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduate General Psychology Program at UHCL provides a high-quality curriculum that meets student career goals and community needs. Students have the opportunity to receive a comprehensive overview of psychology, develop academic and critical thinking skills, reach career goals, uphold ethical standards, and become life-long learners.",,Mathematics 3 hours
Psychology B.S.,ASTR 1303,Stars and Galaxies Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduate General Psychology Program at UHCL provides a high-quality curriculum that meets student career goals and community needs. Students have the opportunity to receive a comprehensive overview of psychology, develop academic and critical thinking skills, reach career goals, uphold ethical standards, and become life-long learners.",,Life and Physical Sciences 6 hours
Psychology B.S.,ASTR 1304,Solar System Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduate General Psychology Program at UHCL provides a high-quality curriculum that meets student career goals and community needs. Students have the opportunity to receive a comprehensive overview of psychology, develop academic and critical thinking skills, reach career goals, uphold ethical standards, and become life-long learners.",,Life and Physical Sciences 6 hours
Psychology B.S.,BIOL 1306,Biology for Science Majors I Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduate General Psychology Program at UHCL provides a high-quality curriculum that meets student career goals and community needs. Students have the opportunity to receive a comprehensive overview of psychology, develop academic and critical thinking skills, reach career goals, uphold ethical standards, and become life-long learners.",,Life and Physical Sciences 6 hours
Psychology B.S.,BIOL 1307,Biology for Science Majors II Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduate General Psychology Program at UHCL provides a high-quality curriculum that meets student career goals and community needs. Students have the opportunity to receive a comprehensive overview of psychology, develop academic and critical thinking skills, reach career goals, uphold ethical standards, and become life-long learners.",,Life and Physical Sciences 6 hours
Psychology B.S.,BIOL 1308,Biology for Non-Science Majors I,University Core Requirements 42 Hours,"The undergraduate General Psychology Program at UHCL provides a high-quality curriculum that meets student career goals and community needs. Students have the opportunity to receive a comprehensive overview of psychology, develop academic and critical thinking skills, reach career goals, uphold ethical standards, and become life-long learners.",,Life and Physical Sciences 6 hours
Sociology B.S.,BIOL 2302,Anatomy & Physiology II Credit Hours: 3,University Core Requirements 42 Hours,"Are you curious about social problems? Do you have ideas about how to improve society? Are you interested in social policies and their effects? If so, Sociology may be for you. A Sociology degree prepares you for a wide range of careers in the following areas: business and industry, government,community and social services, the legal system, education, and research. Our majors work in nonprofitorganizations, government, marketing, urban planning, and human resources. They also work with at-riskyouth, senior citizens, and people struggling with substance abuse. Our faculty have areas ofspecialization in family sociology, medical sociology, immigration, religion, race and ethnic relations,social inequality, complex organizations, nonprofit organizations, and conflict resolution.",,Life and Physical Sciences 6 hours
Sociology B.S.,CHEM 1305,Introductory Chemistry I Credit Hours: 3,University Core Requirements 42 Hours,"Are you curious about social problems? Do you have ideas about how to improve society? Are you interested in social policies and their effects? If so, Sociology may be for you. A Sociology degree prepares you for a wide range of careers in the following areas: business and industry, government,community and social services, the legal system, education, and research. Our majors work in nonprofitorganizations, government, marketing, urban planning, and human resources. They also work with at-riskyouth, senior citizens, and people struggling with substance abuse. Our faculty have areas ofspecialization in family sociology, medical sociology, immigration, religion, race and ethnic relations,social inequality, complex organizations, nonprofit organizations, and conflict resolution.",,Life and Physical Sciences 6 hours
Sociology B.S.,CHEM 1311,General Chemistry I,University Core Requirements 42 Hours,"Are you curious about social problems? Do you have ideas about how to improve society? Are you interested in social policies and their effects? If so, Sociology may be for you. A Sociology degree prepares you for a wide range of careers in the following areas: business and industry, government,community and social services, the legal system, education, and research. Our majors work in nonprofitorganizations, government, marketing, urban planning, and human resources. They also work with at-riskyouth, senior citizens, and people struggling with substance abuse. Our faculty have areas ofspecialization in family sociology, medical sociology, immigration, religion, race and ethnic relations,social inequality, complex organizations, nonprofit organizations, and conflict resolution.",,Life and Physical Sciences 6 hours
Sociology B.S.,CHEM 1312,General Chemistry II Credit Hours: 3,University Core Requirements 42 Hours,"Are you curious about social problems? Do you have ideas about how to improve society? Are you interested in social policies and their effects? If so, Sociology may be for you. A Sociology degree prepares you for a wide range of careers in the following areas: business and industry, government,community and social services, the legal system, education, and research. Our majors work in nonprofitorganizations, government, marketing, urban planning, and human resources. They also work with at-riskyouth, senior citizens, and people struggling with substance abuse. Our faculty have areas ofspecialization in family sociology, medical sociology, immigration, religion, race and ethnic relations,social inequality, complex organizations, nonprofit organizations, and conflict resolution.",,Life and Physical Sciences 6 hours
Sociology B.S.,ENSC 1301,Environmental Science I Credit Hours: 3,University Core Requirements 42 Hours,"Are you curious about social problems? Do you have ideas about how to improve society? Are you interested in social policies and their effects? If so, Sociology may be for you. A Sociology degree prepares you for a wide range of careers in the following areas: business and industry, government,community and social services, the legal system, education, and research. Our majors work in nonprofitorganizations, government, marketing, urban planning, and human resources. They also work with at-riskyouth, senior citizens, and people struggling with substance abuse. Our faculty have areas ofspecialization in family sociology, medical sociology, immigration, religion, race and ethnic relations,social inequality, complex organizations, nonprofit organizations, and conflict resolution.",,Life and Physical Sciences 6 hours
Sociology B.S.,ENSC 1302,Environmental Science II Credit Hours: 3,University Core Requirements 42 Hours,"Are you curious about social problems? Do you have ideas about how to improve society? Are you interested in social policies and their effects? If so, Sociology may be for you. A Sociology degree prepares you for a wide range of careers in the following areas: business and industry, government,community and social services, the legal system, education, and research. Our majors work in nonprofitorganizations, government, marketing, urban planning, and human resources. They also work with at-riskyouth, senior citizens, and people struggling with substance abuse. Our faculty have areas ofspecialization in family sociology, medical sociology, immigration, religion, race and ethnic relations,social inequality, complex organizations, nonprofit organizations, and conflict resolution.",,Life and Physical Sciences 6 hours
Sociology B.S.,GEOL 1303,Physical Geology Credit Hours: 3,University Core Requirements 42 Hours,"Are you curious about social problems? Do you have ideas about how to improve society? Are you interested in social policies and their effects? If so, Sociology may be for you. A Sociology degree prepares you for a wide range of careers in the following areas: business and industry, government,community and social services, the legal system, education, and research. Our majors work in nonprofitorganizations, government, marketing, urban planning, and human resources. They also work with at-riskyouth, senior citizens, and people struggling with substance abuse. Our faculty have areas ofspecialization in family sociology, medical sociology, immigration, religion, race and ethnic relations,social inequality, complex organizations, nonprofit organizations, and conflict resolution.",,Life and Physical Sciences 6 hours
General Business B.S.,ISAM 1305,Business Computer Applications Credit Hours: 3,College Core Requirements 48 hours,"The following courses, or their approved equivalents, together with accounting and economics principles and business law, constitute the business core and are required of all business students. No more than 6 hours of grades in the range of D+, D or D- are permitted in Upper-Level 33XX and 43XX Business Core Requirements.",Two 1- hour Life and Physical Science Labs,Core Requirements for Business Majors 48 hours
General Business B.S.,LEGL 2301,Legal Environment of Business Credit Hours: 3,College Core Requirements 48 hours,"The following courses, or their approved equivalents, together with accounting and economics principles and business law, constitute the business core and are required of all business students. No more than 6 hours of grades in the range of D+, D or D- are permitted in Upper-Level 33XX and 43XX Business Core Requirements.",Two 1- hour Life and Physical Science Labs,Core Requirements for Business Majors 48 hours
General Business B.S.,DSCI 3321,Statistics I Credit Hours: 3,College Core Requirements 48 hours,"The following courses, or their approved equivalents, together with accounting and economics principles and business law, constitute the business core and are required of all business students. No more than 6 hours of grades in the range of D+, D or D- are permitted in Upper-Level 33XX and 43XX Business Core Requirements.",Two 1- hour Life and Physical Science Labs,Core Requirements for Business Majors 48 hours
General Business B.S.,DSCI 3331,Quantitative Methods for Management Credit Hours: 3,College Core Requirements 48 hours,"The following courses, or their approved equivalents, together with accounting and economics principles and business law, constitute the business core and are required of all business students. No more than 6 hours of grades in the range of D+, D or D- are permitted in Upper-Level 33XX and 43XX Business Core Requirements.",Two 1- hour Life and Physical Science Labs,Core Requirements for Business Majors 48 hours
